category_code	name
2036	"Захоплення заручників"
3017	"звільнення з публічної служби"
4095	Землекористування
2041	"Зловживання військовою службовою особою владою або службовим становищем (стара категорія)"
2076	"Зловживання владою або службовим становищем"
2001	"Злочини проти життя та здоров'я особи"
2004	"Злочини  у сфері господарської діяльності"
2012	"Злочини проти авторитету органів державної влади, органів місцевого самоврядування, об'єднань громадян та злочини проти журналістів"
2016	"Злочини проти безпеки виробництва"
2017	"Злочини проти безпеки руху та експлуатації транспорту"
2028	"Злочини проти власності"
2035	"Злочини проти волі, честі та гідності особи"
2039	"Злочини проти встановленого порядку несення військової служби (військові злочини)"
2054	"Злочини проти громадської безпеки"
2051	"Злочини проти громадського порядку та моральності"
2060	"Злочини проти миру, безпеки людства та міжнародного правопорядку"
2063	"Злочини проти правосуддя"
2065	"Злочини проти статевої свободи та статевої недоторканності особи"
2067	"Злочини у сфері використання електронно-обчислювальних машин (комп'ютерів), систем та комп'ютерних мереж і мереж електрозв'язку"
2070	"Злочини у сфері службової діяльності в юридичних особах приватного права та професійної діяльності, пов’язаної з наданням публічних послуг"
2075	"Злочини у сфері службової діяльності"
4043	"Зовнішньоекономічна діяльність"
4096	"Зовнішньоекономічна діяльність"
3025	"кандидатів, їхніх довірених осіб"
4014	"Касові операції"
1085	"Клопотання про визнання рішення іноземного суду, що не підлягає примусовому виконанню"
1086	"Клопотання про визнання та звернення до виконання рішення іноземного суду, що підлягає примусовому виконанню"
2006	Контрабанда
2031	Крадіжка
2000	"Кримінальні справи (до 01.01.2019)"
4101	"Лізингові зобов'язання"
2007	"Легалізація (відмивання) доходів, одержаних злочинним шляхом"
4054	"Міжнародні перевезення"
3014	"місцевих органів виконавчої влади"
2052	"Масові заворушення"
4049	"Митні платежи, у тому числі:"
4010	Моральної
1001	"Наказне провадження"
4128	"Національним банком або його територіальним управлінням"
2042	"Недбале ставлення до військової служби"
2008	"Незаконна приватизація державного, комунального майна"
2073	"Незаконне введення в організм наркотичних засобів, психотропних речовин або їх аналогів"
2009	"Незаконне виготовлення, зберігання, збут або транспортування з метою збуту підакцизних товарів"
2018	"Незаконне заволодіння транпортним засобом"
2069	"Незаконне переправлення осіб через державний кордон України"
2037	"Незаконне позбавлення волі або викрадення людини"
4055	"Обіг цінних паперів"
4102	"Обіг цінних паперів"
2077	"одержання,давання, провокація хабара (усього), з них"
4065	"Оплата за землю"
3027	"органів місцевого самоврядування"
4129	"Органом місцевого самоврядування"
4105	"Орендні правовідносини"
3021	"оскарження рішень, дій або бездіяльності"
3028	"офіційних спостерігачів від суб'єктів виборчого процесу"
4059	"Охорона навколишнього природного середовища"
3030	"підприємств, установ, організацій, їхніх посадових та службових осіб"
4066	Пільги
4060	"Пільги для іноземних інвесторів"
2078	"Перевищення влади або службових повноважень працівником правоохоронного органу"
2023	"Перешкоджання законній діяльності професійних спілок, політичних партій, громадських організацій"
2024	"Перешкоджання законній професійній діяльності журналістів"
2025	"Перешкоджання здійсненню виборчого права або права брати участь у референдумі, роботі виборчої комісії або комісії з референдуму чи діяльності офіційного спостерігача"
4116	"Питання конкуренції"
2066	"Зґвалтування ч.1"
2068	"Злочини у сфері охорони державної таємниці, недоторканності державних кордонів, забезпечення призову та мобілізації"
2072	"Злочини у сфері обігу наркотичних засобів, психотропних речовин, їх аналогів або прекурсорів (усього), з них"
3026	"органів виконавчої влади"
4001	"Майнові спори"
4040	Збори
4048	"Лізингові правовідносини"
4058	"Орендні правовідносини"
4076	"Комерційна концесія"
4098	"Купівля - продаж"
4107	"Оренда земельної ділянки"
4061	"Повернення грошових коштів органами, що здійснють контрольні функції"
2013	"Погроза або насильство щодо державного чи громадського діяча"
2044	"Погроза або насильство щодо начальника"
2014	"Погроза або насильство щодо працівника правоохоронного органу"
4121	"Податок на прибуток"
4127	"Кабінетом Міністрів України"
1042	"Позовне провадження"
2026	"Порушення недоторканності житла"
2019	"Порушення правил безпеки дорожнього руху або експлуатації транспорту особами, які керують транспортними засобами"
2020	"Порушення правил безпеки руху або експлуатації залізничного, водного чи повітряного транспорту"
2045	"Порушення правил водіння або експуатації машин"
2046	"Порушення правил поводження зі зброєю, а також із речовинами і предметами, що становлять підвищену небезпеку для оточення"
2027	"Порушення рівноправності громадян залежно від їх расової, національної належності, релігійних переконань, інвалідності та за іншими ознаками"
2047	"Порушення статутних правил вартової служби чи патрулювання"
2048	"Порушення статутних правил взаємовідносин між військовослужбовцями за відсутності підлеглості"
3008	"постанови Верховної Ради Автономної Республіки Крим"
3009	"постанови Верховної Ради України"
3010	"постанови та розпорядження Кабінету Міністрів України"
2062	"Посягання на життя державного або громадського діяча"
2064	"Посягання на життя судді, народного засідателя чи присяжного у зв'язку з їх діяльністю, пов'язаною із здійсненням правосуддя"
2015	"Посягнення на життя працівника правоохоронного органу, члена громадського формування з охорони громадського порядку і державного кордону або військовослужбовця"
4020	"Пошкодження, втрати, псування вантажу"
4062	"Право власності на землю у тому числі:"
2032	"Привласнення, розтрата майна або заволодіння ним шляхом зловживання службовим становищем"
3018	"прийняття на публічну службу"
4086	"Продовження строку арешту активів платника податків"
3019	"проходження публічної служби"
2033	Розбій
1002	"Розгляд заяв про скасування судового наказу"
1010	"на іншу вимогу"
1003	"компенсацію витрат на проведення розшуку відповідача, боржника, дитини або транспортних засобів боржника"
1008	"стягнення нарахованої, але не виплаченої працівникові суми заробітної плати"
1009	"на вимогу, яка ґрунтується на правочині, вчиненому у письмовій формі"
1084	"Розгляд клопотань про визнання та виконання рішень іноземних судів в Україні"
