region_code	name
01	"Автономна Республіка Крим"
02	"Вінницька область"
03	"Волинська область"
04	"Дніпропетровська область"
05	"Донецька область"
06	"Житомирська область"
07	"Закарпатська область"
08	"Запорізька область"
09	"Івано-Франківська область"
10	"Київська область"
11	"Кіровоградська область"
12	"Луганська область"
13	"Львівська область"
14	"Миколаївська область"
15	"Одеська область"
16	"Полтавська область"
17	"Рівненська область"
18	"Сумська область"
19	"Тернопільська область"
20	"Харківська область"
21	"Херсонська область"
22	"Хмельницька область"
23	"Черкаська область"
24	"Чернівецька область"
25	"Чернігівська область"
26	"м. Київ"
27	"м. Севастополь"
31	"ВС Центральний регіон"
32	"ВС Західний регіон"
33	"ВС Південний регіон"
34	"ВС ВМС України"
